iter	Passed	Remaining
0	147	147249
1	148	73909
2	149	49529
3	149	37304
4	150	29961
5	151	25060
6	151	21553
7	152	18917
8	153	16868
9	153	15227
10	154	13886
11	155	12771
12	155	11828
13	156	11026
14	157	10335
15	158	9718
16	158	9175
17	159	8699
18	160	8275
19	160	7888
20	161	7535
21	162	7212
22	162	6920
23	163	6651
24	164	6403
25	164	6175
26	165	5962
27	166	5765
28	166	5580
29	167	5410
30	167	5249
31	168	5100
32	169	4959
33	169	4827
34	170	4701
35	171	4589
36	172	4478
37	172	4376
38	173	4279
39	174	4186
40	175	4095
41	175	4010
42	176	3928
43	177	3849
44	177	3775
45	178	3705
46	179	3637
47	180	3572
48	180	3508
49	181	3447
50	182	3390
51	182	3333
52	183	3279
53	184	3226
54	184	3175
55	185	3128
56	186	3083
57	187	3037
58	187	2994
59	188	2950
60	188	2908
61	189	2868
62	190	2829
63	190	2791
64	191	2754
65	192	2718
66	192	2684
67	193	2650
68	194	2619
69	194	2587
70	195	2557
71	196	2526
72	196	2497
73	197	2468
74	197	2441
75	198	2413
76	199	2387
77	199	2361
78	200	2337
79	201	2314
80	201	2290
81	202	2268
82	202	2242
83	203	2221
84	204	2201
85	205	2181
86	206	2163
87	206	2144
88	207	2124
89	208	2105
90	208	2087
91	209	2069
92	210	2051
93	211	2034
94	211	2018
95	212	2001
96	213	1985
97	213	1969
98	214	1955
99	215	1939
100	216	1925
101	217	1911
102	217	1897
103	218	1883
104	219	1868
105	219	1854
106	220	1840
107	221	1826
108	221	1813
109	222	1799
110	223	1786
111	223	1773
112	224	1760
113	224	1748
114	225	1736
115	226	1724
116	226	1710
117	227	1699
118	228	1688
119	228	1678
120	229	1669
121	230	1658
122	231	1648
123	231	1638
124	232	1628
125	233	1618
126	233	1607
127	234	1597
128	235	1587
129	235	1577
130	236	1567
131	236	1558
132	237	1548
133	238	1539
134	238	1530
135	239	1521
136	240	1513
137	240	1505
138	241	1496
139	242	1487
140	242	1479
141	243	1469
142	243	1461
143	244	1455
144	245	1447
145	246	1439
146	246	1431
147	247	1423
148	247	1415
149	248	1408
150	249	1400
151	249	1393
152	250	1385
153	250	1378
154	251	1371
155	252	1364
156	253	1359
157	253	1353
158	254	1347
159	255	1340
160	255	1332
161	256	1326
162	257	1319
163	257	1313
164	258	1307
165	259	1301
166	259	1295
167	260	1289
168	260	1283
169	261	1277
170	262	1271
171	262	1265
172	263	1259
173	264	1254
174	264	1249
175	265	1243
176	266	1238
177	267	1233
178	267	1228
179	268	1223
180	269	1218
181	269	1213
182	270	1208
183	271	1203
184	272	1198
185	272	1193
186	273	1188
187	274	1184
188	274	1179
189	275	1174
190	276	1169
191	277	1165
192	277	1161
193	278	1156
194	278	1151
195	279	1146
196	280	1142
197	280	1137
198	281	1132
199	282	1128
200	282	1124
201	283	1119
202	284	1115
203	284	1110
204	285	1106
205	286	1102
206	286	1098
207	287	1094
208	288	1090
209	288	1087
210	289	1083
211	290	1079
212	291	1075
213	291	1071
214	292	1067
215	292	1063
216	293	1059
217	294	1055
218	294	1051
219	295	1047
220	295	1043
221	296	1039
222	297	1035
223	297	1031
224	298	1027
225	299	1024
226	299	1021
227	300	1017
228	301	1013
229	301	1010
230	302	1008
231	303	1005
232	304	1001
233	304	998
234	305	995
235	306	991
236	307	988
237	307	984
238	308	981
239	308	978
240	309	974
241	310	971
242	310	967
243	311	965
244	312	962
245	312	959
246	313	956
247	314	952
248	314	949
249	315	946
250	316	943
251	316	940
252	317	937
253	317	933
254	318	930
255	319	927
256	319	924
257	320	921
258	321	918
259	321	916
260	322	913
261	323	910
262	323	907
263	324	904
264	325	902
265	325	899
266	326	896
267	327	893
268	328	891
269	328	888
270	329	886
271	330	883
272	330	880
273	331	878
274	332	875
275	332	873
276	333	870
277	334	868
278	334	865
279	335	863
280	336	860
281	336	857
282	337	855
283	338	852
284	338	849
285	339	847
286	339	844
287	340	841
288	341	839
289	341	836
290	342	834
291	342	831
292	343	829
293	344	826
294	344	824
295	345	821
296	346	819
297	347	817
298	347	815
299	348	813
300	349	810
301	349	808
302	350	806
303	351	804
304	351	801
305	352	799
306	353	797
307	353	795
308	354	793
309	355	790
310	356	788
311	356	786
312	357	784
313	358	782
314	358	780
315	359	778
316	360	776
317	361	774
318	361	772
319	362	770
320	363	768
321	363	765
322	364	763
323	365	761
324	365	759
325	366	757
326	366	755
327	367	752
328	368	750
329	368	748
330	369	746
331	370	744
332	370	743
333	371	741
334	372	739
335	373	737
336	373	735
337	374	732
338	374	730
339	375	728
340	376	726
341	376	725
342	377	723
343	378	721
344	378	719
345	379	717
346	380	715
347	381	713
348	381	712
349	382	710
350	383	708
351	383	706
352	384	704
353	385	702
354	385	700
355	386	699
356	387	697
357	387	695
358	388	694
359	389	692
360	390	690
361	391	689
362	391	687
363	392	686
364	393	684
365	394	683
366	395	681
367	395	679
368	396	678
369	397	676
370	398	674
371	398	673
372	399	671
373	399	669
374	400	667
375	401	665
376	401	663
377	402	662
378	402	660
379	403	658
380	404	656
381	404	654
382	405	653
383	406	651
384	406	650
385	407	648
386	408	646
387	408	644
388	409	643
389	410	641
390	410	639
391	411	637
392	411	636
393	412	634
394	413	633
395	414	631
396	414	629
397	415	628
398	416	626
399	416	625
400	417	623
401	418	622
402	418	620
403	419	618
404	420	617
405	420	615
406	421	614
407	422	612
408	422	610
409	423	609
410	424	607
411	424	606
412	425	604
413	425	602
414	426	601
415	427	599
416	427	597
417	428	596
418	428	594
419	429	593
420	430	591
421	430	590
422	431	588
423	432	587
424	432	585
425	433	584
426	434	582
427	434	581
428	435	579
429	436	577
430	436	576
431	437	574
432	437	573
433	438	571
434	439	570
435	439	568
436	440	567
437	441	566
438	442	564
439	442	563
440	443	562
441	444	560
442	444	559
443	445	557
444	445	556
445	446	554
446	447	553
447	447	551
448	448	550
449	449	548
450	449	547
451	450	546
452	451	544
453	451	543
454	452	542
455	453	541
456	454	539
457	454	538
458	455	537
459	456	535
460	456	534
461	457	532
462	458	531
463	458	529
464	459	528
465	460	527
466	460	525
467	461	524
468	461	522
469	462	521
470	463	520
471	463	518
472	464	517
473	465	516
474	465	514
475	466	513
476	466	512
477	467	510
478	468	509
479	468	507
480	469	506
481	470	505
482	470	503
483	471	502
484	472	501
485	472	500
486	473	498
487	474	497
488	474	496
489	475	495
490	476	493
491	477	492
492	477	491
493	478	490
494	479	488
495	479	487
496	480	486
497	481	485
498	482	483
499	482	482
500	483	481
501	484	480
502	484	479
503	485	477
504	486	476
505	486	475
506	487	473
507	487	472
508	488	471
509	489	470
510	489	468
511	490	467
512	491	466
513	491	465
514	492	463
515	493	462
516	493	461
517	494	460
518	494	458
519	495	457
520	496	456
521	496	454
522	497	453
523	498	452
524	498	451
525	499	450
526	500	448
527	500	447
528	501	446
529	502	445
530	502	444
531	503	442
532	504	441
533	504	440
534	505	439
535	506	438
536	506	436
537	507	435
538	507	434
539	508	433
540	509	432
541	510	431
542	510	429
543	511	428
544	512	427
545	513	426
546	514	425
547	514	424
548	515	423
549	515	422
550	516	420
551	517	419
552	517	418
553	518	417
554	519	416
555	519	415
556	520	413
557	521	412
558	521	411
559	522	410
560	522	409
561	523	408
562	524	407
563	525	405
564	525	404
565	526	403
566	527	402
567	527	401
568	528	400
569	528	398
570	529	397
571	530	396
572	530	395
573	531	394
574	532	393
575	532	392
576	533	390
577	533	389
578	534	388
579	535	387
580	536	386
581	537	385
582	537	384
583	538	383
584	539	382
585	539	381
586	540	380
587	541	379
588	542	378
589	542	377
590	543	376
591	544	375
592	545	374
593	545	373
594	546	372
595	547	371
596	548	370
597	548	368
598	549	367
599	550	366
600	550	365
601	551	364
602	551	363
603	552	362
604	553	361
605	553	360
606	554	359
607	555	357
608	555	356
609	556	355
610	556	354
611	557	353
612	558	352
613	558	351
614	559	350
615	560	349
616	560	348
617	561	347
618	562	346
619	562	344
620	563	343
621	564	342
622	564	341
623	565	340
624	565	339
625	566	338
626	567	337
627	567	336
628	568	335
629	569	334
630	570	333
631	570	332
632	571	331
633	572	330
634	573	329
635	573	328
636	574	327
637	575	326
638	575	325
639	576	324
640	576	323
641	577	322
642	578	320
643	578	319
644	579	318
645	579	317
646	580	316
647	581	315
648	581	314
649	582	313
650	582	312
651	583	311
652	584	310
653	584	309
654	585	308
655	586	307
656	586	306
657	587	305
658	588	304
659	588	303
660	589	302
661	589	301
662	590	300
663	591	299
664	591	298
665	592	297
666	593	296
667	593	295
668	594	294
669	595	293
670	595	292
671	596	291
672	597	290
673	597	289
674	598	288
675	599	287
676	600	286
677	600	285
678	601	284
679	602	283
680	602	282
681	603	281
682	604	280
683	604	279
684	605	278
685	606	277
686	606	276
687	607	275
688	608	274
689	609	273
690	609	272
691	610	271
692	611	270
693	612	269
694	612	268
695	613	268
696	614	267
697	615	266
698	615	265
699	616	264
700	617	263
701	618	262
702	619	261
703	619	260
704	620	259
705	621	258
706	621	257
707	622	256
708	623	255
709	623	254
710	624	253
711	625	252
712	625	251
713	626	250
714	627	249
715	627	249
716	628	248
717	629	247
718	630	246
719	630	245
720	631	244
721	632	243
722	632	242
723	633	241
724	634	240
725	634	239
726	635	238
727	636	237
728	636	236
729	637	235
730	638	234
731	638	233
732	639	232
733	639	231
734	640	230
735	641	229
736	641	228
737	642	228
738	643	227
739	644	226
740	644	225
741	645	224
742	645	223
743	646	222
744	647	221
745	647	220
746	648	219
747	649	218
748	650	217
749	650	216
750	651	216
751	652	215
752	652	214
753	653	213
754	654	212
755	655	211
756	655	210
757	656	209
758	657	208
759	658	207
760	658	206
761	659	206
762	660	205
763	660	204
764	661	203
765	662	202
766	662	201
767	663	200
768	664	199
769	664	198
770	665	197
771	666	196
772	667	195
773	667	194
774	668	194
775	669	193
776	669	192
777	670	191
778	670	190
779	671	189
780	672	188
781	672	187
782	673	186
783	674	185
784	674	184
785	675	183
786	676	182
787	676	182
788	677	181
789	678	180
790	678	179
791	679	178
792	680	177
793	680	176
794	681	175
795	682	174
796	682	173
797	683	173
798	684	172
799	685	171
800	685	170
801	686	169
802	687	168
803	687	167
804	688	166
805	689	165
806	690	165
807	690	164
808	691	163
809	692	162
810	692	161
811	693	160
812	694	159
813	695	158
814	695	157
815	696	157
816	697	156
817	697	155
818	698	154
819	698	153
820	699	152
821	700	151
822	700	150
823	701	149
824	702	148
825	703	148
826	703	147
827	704	146
828	705	145
